,Query,Value
0,smart watch,100
1,apple watch,40
2,movies to watch,23
3,men watch,19
4,watch online movies,18
5,noise,18
6,noise watch,18
7,movie to watch,17
8,titan watch,17
9,titan,16
10,samsung watch,15
11,watch for men,14
12,watch ultra,14
13,anime watch,12
14,series to watch,12
15,smart watch price,12
16,what to watch,11
17,boat watch,11
18,fire boltt watch,10
19,noise smart watch,10
20,fire boltt,10
21,girls watch,10
22,fastrack watch,9
23,fastrack,9
24,rolex watch,8
25,watch 8 ultra,Breakout
26,apple watch ultra,Breakout
27,tu jhoothi main makkar full movie watch online,"+3,900%"
28,apple watch ultra price,"+3,200%"
29,huawei watch buds,"+2,850%"
30,dizo watch r talk,"+2,650%"
31,where to watch ipl 2023,"+2,350%"
32,where to watch fifa world cup,"+2,100%"
33,rs7 watch,"+1,650%"
34,i watch ultra,"+1,600%"
35,apple watch series 8,"+1,200%"
36,i watch series 8,"+1,200%"
37,ani watch,"+1,100%"
38,drishyam 2 watch online,+950%
39,ullu web series watch online movierulz,+750%
40,realme watch 3 pro,+650%
41,jaipur watch company,+450%
42,google pixel watch,+450%
43,pixel watch,+450%
44,best earbuds,100
45,boat earbuds,97
46,earbuds boat under 500,96
47,boat,96
48,earbuds wireless,60
49,wireless earbuds under 500,58
50,bluetooth earbuds under 500,56
51,bluetooth,55
52,bluetooth earbuds,55
53,earbuds bluetooth,55
54,earphones under 500,54
55,earphones,53
56,flipkart earbuds,52
57,earbuds price,49
58,earbuds under 1000,46
59,buds under 500,44
60,buds,41
61,tws earbuds under 500,28
62,tws earbuds,28
63,airpods under 500,27
64,ptron earbuds under 500,27
65,airpods,26
66,ptron,26
67,ptron earbuds,26
68,headphones,24
69,truke earbuds,Breakout
70,hoppup earbuds,Breakout
71,boat earbuds under 800,Breakout
72,price history,Breakout
73,airports,Breakout
74,shopsy,+350%
75,earbuds under 600,+250%
76,earbuds under 800,+200%
77,earbuds under 1500,+180%
78,ear buds under 500,+140%
79,best neckband under 500,+130%
80,best earbuds under 2000,+90%
81,ptron bassbuds,+80%
82,earbuds under 700,+60%
83,ear buds,+60%
84,earbud,+50%
85,noise earbuds,+40%
86,best airpods under 500,+40%
87,gaming earbuds,+40%
88,kurti set,100
89,kurti set under 500,99
90,kurti meesho,49
91,meesho kurti under 500,49
92,meesho,49
93,plazo kurti set,36
94,meesho kurti set,34
95,kurti set with dupatta under 500,31
96,kurti set with dupatta,31
97,kurti for women,30
98,kurti for women under 500,30
99,flipkart kurti,29
100,flipkart kurti under 500,29
101,kurti pant set,25
102,kurti pant set under 500,25
103,flipkart kurti set,21
104,flipkart kurti set under 500,21
105,meesho kurti plazo set under 500,20
106,myntra kurti,18
107,myntra,18
108,cotton kurti,17
109,dress under 500,15
110,kurti set for women,15
111,kurta set under 500,15
112,kurti set for women under 500,15
113,chikankari kurta set,Breakout
114,heels for women under 500,Breakout
115,chikan kurti for women,Breakout
116,meesho kurti palazzo set under 300,Breakout
117,max kurtis under 500,Breakout
118,black chikankari kurti,+300%
119,short kurti for women,+300%
120,chikankari kurti,+200%
121,meesho kurti set with dupatta party wear,+200%
122,chikankari kurti under 500,+180%
123,white kurti for women,+160%
124,meesho kurti set with dupatta under 200,+140%
125,short kurti,+140%
126,chikankari kurti for women,+140%
127,kurta for women,+110%
128,kurta set for women under 500,+110%
129,sleeveless kurti,+110%
130,kurta set for women,+100%
131,women jeans under 500,100
132,jeans for women,84
133,jeans for women under 500,84
134,jeans for men under 500,37
135,jeans for men,37
136,wide leg jeans,34
137,wide leg jeans under 500,34
138,black jeans,29
139,top,23
140,baggy jeans,19
141,baggy jeans under 500,19
142,white jeans,18
143,high waist jeans under 500,18
144,jeans for girls,16
145,mens jeans,15
146,wide leg jeans women,14
147,shoes under 500,13
148,jeans under 300,13
149,top for women,12
150,jeans top for women,12
151,high waist jeans women,12
152,cargo jeans,11
153,cargo pants,7
154,baggy jeans mens,Breakout
155,sweatshirt for men,Breakout
156,sweatshirt for men under 500,Breakout
157,black wide leg jeans women,+800%
158,cargo pants for men,+500%
159,baggy jeans men,+450%
160,blue wide leg jeans,+400%
161,cargo pants for women under 500,+350%
162,cargo jeans for women,+350%
163,straight fit jeans women,+300%
164,urbanic jeans for women,+300%
165,wide leg jeans for girls,+200%
166,cargo jeans for men,+200%
167,cargo pants under 500,+200%
168,ripped jeans for women,+170%
169,straight fit jeans,+160%
170,bootcut jeans,+150%
171,best earphones,100
172,best earphones under 500,99
173,earphones bluetooth,54
174,boat earphones under 500,45
175,wired earphones,41
176,wired earphones under 500,41
177,wireless earphones,39
178,wireless earphones under 500,39
179,best wired earphones,29
180,earbuds under 500,25
181,earbuds,24
182,headphones under 500,21
183,best boat earphones under 500,18
184,neckband,16
185,best bluetooth earphones,16
186,neckband under 500,16
187,neckband earphones,16
188,neckband earphones under 500,16
189,earphone under 500,15
190,realme,15
191,realme earphones,15
192,earphone,15
193,oneplus wired earphones,Breakout
194,motorola earphones,Breakout
195,wireless earphones under 1000,+550%
196,realme buds 2 wired,+300%
197,earbuds under 300,+250%
198,boat earbuds under 500 flipkart,+250%
199,realme wired earphones,+170%
200,best neckband earphones,+120%
201,bluetooth headset,+120%
202,type c earphones,+110%
203,sony wired earphones,+110%
204,boat earphones wired,+90%
205,boat earbuds under 500,+70%
206,best headset under 500,+70%
207,school bag,100
208,school bag under 500,99
209,bags,73
210,bags under 500,72
211,sling bag under 500,44
212,sling bag,42
213,bag for women,31
214,college bag under 500,24
215,college bag,23
216,school bag for girls under 500,23
217,school bags under 500,23
218,school bag for boys,23
219,bag for men,22
220,school bag for girls,21
221,school bag for boys under 500,21
222,laptop bag under 500,18
223,laptop bag,17
224,bts bag,17
225,sling bags under 500,16
226,bts bag under 500,16
227,backpack under 500,15
228,travel bag,12
229,sling bag women,12
230,college bags under 500,10
231,office bag for men,Breakout
232,sling bag for girls,+190%
233,boxing bag,+160%
234,sling bags for women,+50%
235,kurti plazo set,100
236,kurti plazo,99
237,kurti plazo set under 500,98
238,meesho kurti set under 500,96
239,meesho kurti,95
240,amazon kurti set,37
241,amazon kurti set under 500,36
242,kurti pant set with dupatta under 500,35
243,kurti pant set with dupatta,35
244,www.meesho.com online shopping,Breakout
245,ajio kurta set under 500,+150%
246,amazon kurti pant set,+130%
247,sleeveless kurti under 500,+110%
248,amazon kurti pant set under 500,+100%
249,kurta sets under 500,+90%
250,anarkali kurti,+80%
